# run_started_at	20260420_173948
# arg	batch_size	8
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	128
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"piqa"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"piqa"
# arg	eval_every	200
# arg	eval_max_samples	200
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	1
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	5e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.25
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Qwen_MoE"
# arg	num_proc	16
# arg	output_dir	"/root/models/CB_lowrestrict"
# arg	router_aux_loss_coef	0.002
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	1.0
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.15
# arg	router_pull_loss_coef	0.002
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"hard_ce"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	null
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	-1
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	42
# arg	share_router_expert_embedding	0
# arg	stage	1
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	2.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	2.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	0.25
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_new_router_lr_mult	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	""
# arg	stage2_new_router_lr_mult	1.0
# arg	stage2_validation_train_ratio	0.2
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	42
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	layer_idx	layer_loss	kl_loss	logit_loss	teacher_entropy	student_entropy	top1_agreement	topk_overlap	logits_cosine
1776678015.891	0	50	50	0	nan	nan	nan	3.816655	nan	0.018587	0.061338	nan
1776678015.891	0	50	50	1	nan	nan	nan	nan	nan	1.000000	1.000000	nan
1776678015.891	0	50	50	2	nan	nan	nan	nan	nan	1.000000	1.000000	nan
1776678015.891	0	50	50	3	nan	nan	nan	nan	nan	1.000000	1.000000	nan
1776678015.891	0	50	50	4	nan	nan	nan	nan	nan	1.000000	1.000000	nan
1776678015.891	0	50	50	5	nan	nan	nan	nan	nan	1.000000	1.000000	nan
1776678015.891	0	50	50	6	nan	nan	nan	nan	nan	1.000000	1.000000	nan
1776678015.891	0	50	50	7	nan	nan	nan	nan	nan	1.000000	1.000000	nan
1776678015.891	0	50	50	8	nan	nan	nan	nan	nan	1.000000	1.000000	nan
1776678015.891	0	50	50	9	nan	nan	nan	nan	nan	1.000000	1.000000	nan
1776678015.891	0	50	50	10	nan	nan	nan	nan	nan	1.000000	1.000000	nan
1776678015.891	0	50	50	11	nan	nan	nan	nan	nan	1.000000	1.000000	nan
1776678015.891	0	50	50	12	nan	nan	nan	nan	nan	1.000000	1.000000	nan
1776678015.891	0	50	50	13	nan	nan	nan	nan	nan	1.000000	1.000000	nan
1776678015.891	0	50	50	14	nan	nan	nan	nan	nan	1.000000	1.000000	nan
1776678015.891	0	50	50	15	nan	nan	nan	nan	nan	1.000000	1.000000	nan
1776678015.891	0	50	50	16	nan	nan	nan	nan	nan	1.000000	1.000000	nan
1776678015.891	0	50	50	17	nan	nan	nan	nan	nan	1.000000	1.000000	nan
1776678015.891	0	50	50	18	nan	nan	nan	nan	nan	1.000000	1.000000	nan
1776678015.891	0	50	50	19	nan	nan	nan	nan	nan	1.000000	1.000000	nan
1776678015.891	0	50	50	20	nan	nan	nan	nan	nan	1.000000	1.000000	nan
1776678015.891	0	50	50	21	nan	nan	nan	nan	nan	1.000000	1.000000	nan
1776678015.891	0	50	50	22	nan	nan	nan	nan	nan	1.000000	1.000000	nan
1776678015.891	0	50	50	23	nan	nan	nan	nan	nan	1.000000	1.000000	nan
1776678040.743	0	100	100	0	nan	nan	nan	3.829084	nan	0.026393	0.067449	nan
1776678040.743	0	100	100	1	nan	nan	nan	nan	nan	1.000000	1.000000	nan
1776678040.743	0	100	100	2	nan	nan	nan	nan	nan	1.000000	1.000000	nan
1776678040.743	0	100	100	3	nan	nan	nan	nan	nan	1.000000	1.000000	nan
1776678040.743	0	100	100	4	nan	nan	nan	nan	nan	1.000000	1.000000	nan
1776678040.743	0	100	100	5	nan	nan	nan	nan	nan	1.000000	1.000000	nan
1776678040.743	0	100	100	6	nan	nan	nan	nan	nan	1.000000	1.000000	nan
1776678040.743	0	100	100	7	nan	nan	nan	nan	nan	1.000000	1.000000	nan
1776678040.743	0	100	100	8	nan	nan	nan	nan	nan	1.000000	1.000000	nan
1776678040.743	0	100	100	9	nan	nan	nan	nan	nan	1.000000	1.000000	nan
1776678040.743	0	100	100	10	nan	nan	nan	nan	nan	1.000000	1.000000	nan
1776678040.743	0	100	100	11	nan	nan	nan	nan	nan	1.000000	1.000000	nan
1776678040.743	0	100	100	12	nan	nan	nan	nan	nan	1.000000	1.000000	nan
1776678040.743	0	100	100	13	nan	nan	nan	nan	nan	1.000000	1.000000	nan
1776678040.743	0	100	100	14	nan	nan	nan	nan	nan	1.000000	1.000000	nan
